campus_code,dept_code,dept_name,course_no,course_name,year,term,year_term_range,opening_dept,A+,A,B+,B,C+,C,D+,D,F,P,S,U,A+_count,A_count,B+_count,B_count,C+_count,C_count,D+_count,D_count,F_count,P_count,S_count,U_count,parse_status,pdf_path,error,total_count
H0002256,H0002739,피아노과,PNO3038,베토벤피아노소나타,2015,2,2015/1 ~ 2017/2,피아노과(학부/서울),10,20,10,50,10,,,,,,,,1,2,1,5,1,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO3038__베토벤피아노소나타.pdf,,10
H0002256,H0002739,피아노과,PNO3039,피아노앙상블3,2026,1,2018/1 ~ 2029/2,피아노과(학부/서울),66.67,33.33,,,,,,,,,,,4,2,,,,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO3039__피아노앙상블3.pdf,,6
H0002256,H0002739,피아노과,PNO3040,피아노구조와관리,2025,2,2019/1 ~ 2030/2,피아노과(학부/서울),28.57,,35.71,14.29,14.29,,7.14,,,,,,4,,5,2,2,,1,,,,,,ok,outputs/pdfs_full/피아노과__PNO3040__피아노구조와관리.pdf,,14
H0002256,H0002739,피아노과,PNO3041,문화예술교육입문,2026,1,2022/1 ~ 2029/2,피아노과(학부/서울),40.74,,18.52,18.52,22.22,,,,,,,,11,,5,5,6,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO3041__문화예술교육입문.pdf,,27
H0002256,H0002739,피아노과,PNO3042,음악교육론,2026,1,2022/1 ~ 2029/2,피아노과(학부/서울),14.81,25.93,22.22,33.33,3.7,,,,,,,,4,7,6,9,1,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO3042__음악교육론.pdf,,27
H0002256,H0002739,피아노과,PNO3043,음악교수학습방법,2026,1,2022/1 ~ 2029/2,피아노과(학부/서울),90.91,9.09,,,,,,,,,,,20,2,,,,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO3043__음악교수학습방법.pdf,,22
H0002256,H0002739,피아노과,PNO3044,음악교육프로그램개발,2025,2,2022/1 ~ 2029/2,피아노과(학부/서울),88.24,11.76,,,,,,,,,,,15,2,,,,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO3044__음악교육프로그램개발.pdf,,17
H0002256,H0002739,피아노과,PNO3045,문화예술교육현장실습과이해,2025,2,2022/1 ~ 2029/2,피아노과(학부/서울),36,36,24,,4,,,,,,,,9,9,6,,1,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO3045__문화예술교육현장실습과이해.pdf,,25
H0002256,H0002739,피아노과,PNO4003,피아노문헌1,2026,1,1992/1 ~ 2027/2,피아노과(학부/서울),10,,5,25,10,30,15,5,,,,,2,,1,5,2,6,3,1,,,,,ok,outputs/pdfs_full/피아노과__PNO4003__피아노문헌1.pdf,,20
H0002256,H0002739,피아노과,PNO4004,피아노문헌2,2025,2,1992/1 ~ 2027/2,피아노과(학부/서울),37.5,6.25,25,12.5,6.25,12.5,,,,,,,6,1,4,2,1,2,,,,,,,ok,outputs/pdfs_full/피아노과__PNO4004__피아노문헌2.pdf,,16
